name,room_numbers,address,price,usable_area,gross_floor_area,url,latitude,longitude,price_per_sq_foot_SA,price_per_sq_foot_GFA
Tsui Lam Estate・HONG LAM HOUSE (BLOCK 7),Middle Floor・FLAT 1・2 Rooms,Po Lam,1660000.0,355.0,,https://hk.centanet.com/findproperty/en/detail/Tsui-Lam-Estate-HONG-LAM-HOUSE-(BLOCK-7)_UEA619?theme=buy,22.3237131,114.2548803,4676.056338028169,
TIN PING ESTATE・TIN CHEUNG HOUSE (BLOCK 2),High Floor・FLAT 11・2 Rooms,Sheung Shui,1800000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/TIN-PING-ESTATE-TIN-CHEUNG-HOUSE-(BLOCK-2)_EPG529?theme=buy,22.5112008,114.1260991,4724.4094488188975,
Tsui Lam Estate・Nga Lam House (Block 3),Low Floor・FLAT 17・2 Rooms,Po Lam,1800000.0,381.0,,https://hk.centanet.com/findproperty/en/detail/Tsui-Lam-Estate-Nga-Lam-House-(Block-3)_UDZ846?theme=buy,22.3237131,114.2548803,4724.4094488188975,
Heng On Estate・Heng Hoi House (Block 4),Middle Floor・FLAT 14・2 Rooms,Heng On,2100000.0,443.0,,https://hk.centanet.com/findproperty/en/detail/Heng-On-Estate-Heng-Hoi-House-(Block-4)_EGT634?theme=buy,,,4740.406320541761,
Yiu On Estate・Yiu Wing House (Block 7),Low Floor・FLAT 9,Ma On Shan,1950000.0,407.0,,https://hk.centanet.com/findproperty/en/detail/Yiu-On-Estate-Yiu-Wing-House-(Block-7)_EGR884?theme=buy,22.4276756,114.2402751,4791.154791154791,
Tsui Lam Estate・Choi Lam House (Block 5),Middle Floor・FLAT 13・2 Rooms,Po Lam,2380000.0,490.0,,https://hk.centanet.com/findproperty/en/detail/Tsui-Lam-Estate-Choi-Lam-House-(Block-5)_UEB943?theme=buy,22.3237131,114.2548803,4857.142857142857,
YIU ON ESTATE・YIU WING HOUSE (BLOCK 7),2 Rooms,Ma On Shan,2049999.9999999998,407.0,,https://hk.centanet.com/findproperty/en/detail/YIU-ON-ESTATE-YIU-WING-HOUSE-(BLOCK-7)_EGY386?theme=buy,22.4276756,114.2402751,5036.855036855036,
KIN TAI HOUSE,1 Room,Kwun Tong,1500000.0,296.0,,https://hk.centanet.com/findproperty/en/detail/KIN-TAI-HOUSE_UCL725?theme=buy,22.3103686,114.2227035,5067.5675675675675,
PO LAM ESTATE・PO KAN HOUSE (BLOCK 6),1 Room,Po Lam,1800000.0,355.0,,https://hk.centanet.com/findproperty/en/detail/PO-LAM-ESTATE-PO-KAN-HOUSE-(BLOCK-6)_UDS978?theme=buy,22.3237131,114.2548803,5070.422535211268,
Long Ping Estate・YUET PING HOUSE,High Floor・FLAT 2・Studio,Long Ping,1800000.0,355.0,,https://hk.centanet.com/findproperty/en/detail/Long-Ping-Estate-YUET-PING-HOUSE_CVJ286?theme=buy,,,5070.422535211268,
Wah Ming Estate・TIM MING HOUSE (BLOCK 7),High Floor・FLAT 2・2 Rooms,Fanling,2250000.0,443.0,,https://hk.centanet.com/findproperty/en/detail/Wah-Ming-Estate-TIM-MING-HOUSE-(BLOCK-7)_EPO422?theme=buy,22.4916829,114.1414685,5079.006772009029,
Tsui Lam Estate・Choi Lam House (Block 5),High Floor・FLAT 12・2 Rooms,Po Lam,2500000.0,490.0,,https://hk.centanet.com/findproperty/en/detail/Tsui-Lam-Estate-Choi-Lam-House-(Block-5)_UEB939?theme=buy,22.3237131,114.2548803,5102.040816326531,
